?Specia,GrupaSpecii,Simbol,SortimentPrimar,GrupaSpeciiSortiment,SortimentIndustrial,SortimentSUMAL,SubsortimentSUMAL,PretFasonat_lei_mc
Gorun (L),Foioase,Go,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Gorun (S),Foioase,Go,LEMN ROTUND,ST Go Ga,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,630.0
Gorun (S),Foioase,Go,LEMN ROTUND,ST Go Ga,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,560.0
Gorun (S),Foioase,Go,LEMN ROTUND,ST Go Ga,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,390.0
Gorun (S),Foioase,Go,LEMN ROTUND,ST Go Ga,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,390.0
Gorun (S),Foioase,Go,LEMN ROTUND,ST Go Ga,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,390.0
Gorun (S),Foioase,Go,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Gorun (S),Foioase,Go,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Jugastru,Foioase,Ju,LEMN ROTUND,DT Ce Ca Ju Me,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,500.0
Jugastru,Foioase,Ju,LEMN ROTUND,DT Ce Ca Ju Me,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,480.0
Jugastru,Foioase,Ju,LEMN ROTUND,DT Ce Ca Ju Me,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
Jugastru,Foioase,Ju,LEMN ROTUND,DT Ce Ca Ju Me,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Jugastru,Foioase,Ju,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Jugastru,Foioase,Ju,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Larice,Rasinoase,La,LEMN ROTUND,Mo Br Du La,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,480.0
Larice,Rasinoase,La,LEMN ROTUND,Mo Br Du La,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,380.0
Larice,Rasinoase,La,LEMN ROTUND,Mo Br Du La,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,280.0
Larice,Rasinoase,La,LEMN ROTUND,Mo Br Du La,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,280.0
Larice,Rasinoase,La,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Larice,Rasinoase,La,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Mesteacan,Foioase,Me,LEMN ROTUND,DT Ce Ca Ju Me,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,500.0
Mesteacan,Foioase,Me,LEMN ROTUND,DT Ce Ca Ju Me,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,480.0
Mesteacan,Foioase,Me,LEMN ROTUND,DT Ce Ca Ju Me,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,370.0
